# rotation results for water
# MODEL			MAX E			MAX F			MAX tau
ANI-1x		3.041109266632702e-07	0.0				1.2634905252606465e-07
ANI-1ccx	1.5205569070531055e-07	0.0				1.074796288080826e-07
ANI-2x		6.93753008818021e-07	0.0				1.4103316003932775e-07
MACE-MP		9.5367431640625e-07	2.9802322387695312e-08		5.752858356772306e-07
MACE-OFF	0.0			5.960464477539063e-08		1.9214792471022868e-07
ORB-V2		0.0093841552734375	1.1675504651975643e-07		-5.479897168675363e-08
ORB-D3-V2	0.010143280029296875	1.5182463641849608e-07		-1.8415923406026047e-08
UMA_small	2.086162567138672e-07	6.664001972467304e-08		0.0006431444151216568
