# translation results for water
# MODEL			MAX E			MAX F			MAX tau
ANI-1x		1.7739785107551143e-07	0.0			5.1403641898595254e-08
ANI-1ccx	8.616475497547071e-07	5.960464477539063e-08	2.340270288669899e-07
ANI-2x		8.172978596121538e-07	2.107342389479072e-08	2.6324275737010794e-07
MACE-MP		0.0			5.960464477539063e-08	2.5580117224421883e-07
MACE-OFF	0.0			2.9802322387695312e-08	1.1933315136047895e-06
ORB-V2		1.9073486328125e-06	3.5081950500170933e-07	1.981187163657694e-06
ORB-D3-V2	5.7220458984375e-06	3.1520769994131115e-07	5.6230222336139946e-06
UMA_small	2.5331974029541016e-07	4.71216097253091e-08	0.0006434192999966726
