# translation results for acetone
# MODEL			MAX E			MAX F			MAX tau
ANI-1x		1.621925548533909e-06	6.504140515062318e-07	2.060532267311732e-06
ANI-1ccx	1.8246655599796213e-06	6.561162422258349e-07	2.0596497712355166e-06
ANI-2x		1.419184627593495e-06	1.0431598411742016e-06	5.123789890038033e-06
MACE-MP		0.0			4.428714532878075e-07	6.359086756946297e-06
MACE-OFF	0.0			4.3825403395203466e-07	5.850732420764615e-06
ORB-V2		3.814697265625e-06	5.228204145169002e-07	1.1486796790194376e-05
ORB-D3-V2	3.814697265625e-06	4.599780254466168e-07	2.025545232697823e-05
UMA_small	5.364418029785156e-07	3.816216747054568e-07	0.001852958581928077
