# rotation results for acetone
# MODEL			MAX E			MAX F			MAX tau
ANI-1x		3.3452206480433233e-06	6.29462761025934e-07	7.908684758056728e-07
ANI-1ccx	3.4465901990188286e-06	7.127342200874409e-07	5.511687818475497e-07
ANI-2x		4.054812961840071e-06	1.1980164345004596e-06	1.0930541555626005e-06
MACE-MP		0.0			5.802966711598856e-07	8.427533892407801e-07
MACE-OFF	0.0			6.454835101976641e-07	1.4065591736056593e-06
ORB-V2		0.014209747314453125	5.455405016618897e-07	-1.7651903094773047e-07
ORB-D3-V2	0.01972198486328125	8.273388516499836e-07	-1.0135239458808343e-07
UMA_small	5.364418029785156e-07	5.019475679546304e-07	0.0029612979019176533
