# UMA data for diatomic mol_25
# DISTANCE	ENERGY
0.0	-15031.139979038737
2.0	-15031.140012298129
4.0	-15031.1400145035
6.0	-15031.139976654551
8.0	-15031.139879260561
10.0	-15031.139701042674
12.0	-15031.139412079356
14.0	-15031.138979528449
16.0	-15031.138366852305
18.0	-15031.137537870905
20.0	-15031.13645640423
22.0	-15031.135087643168
24.0	-15031.133398626349
26.0	-15031.13136133959
28.0	-15031.128952715895
30.0	-15031.12615487387
32.0	-15031.122955296538
34.0	-15031.119349930785
36.0	-15031.115337822936
38.0	-15031.110928271315
40.0	-15031.106134925387
42.0	-15031.10097715666
44.0	-15031.095481369994
46.0	-15031.089677188895
48.0	-15031.083600018523
50.0	-15031.077290092013
52.0	-15031.070790145895
54.0	-15031.064145956538
56.0	-15031.057407174609
58.0	-15031.050623391173
60.0	-15031.043846879504
62.0	-15031.037130449316
64.0	-15031.030524287722
66.0	-15031.024081562064
68.0	-15031.01784947922
70.0	-15031.011876259348
72.0	-15031.006204758189
74.0	-15031.000878427527
76.0	-15030.995935712359
78.0	-15030.991413805983
80.0	-15030.987348948023
82.0	-15030.983771775267
84.0	-15030.98070815613
86.0	-15030.978180740378
88.0	-15030.976204429171
90.0	-15030.974791858695
92.0	-15030.973954055808
94.0	-15030.97369525244
96.0	-15030.974018011591
98.0	-15030.974918399355
100.0	-15030.976388488314
102.0	-15030.978417609236
104.0	-15030.980988178751
106.0	-15030.984080586932
108.0	-15030.98767009785
110.0	-15030.991727505228
112.0	-15030.996219132445
114.0	-15031.001109931967
116.0	-15031.006358478568
118.0	-15031.011919174693
120.0	-15031.01774719765
122.0	-15031.023790512583
124.0	-15031.029998097918
126.0	-15031.03631601145
128.0	-15031.042688344023
130.0	-15031.049061689875
132.0	-15031.055382404826
134.0	-15031.061594639323
136.0	-15031.067649100325
138.0	-15031.073494349024
140.0	-15031.07908443024
142.0	-15031.084378216765
144.0	-15031.08933833649
146.0	-15031.093936000369
148.0	-15031.098148141406
150.0	-15031.101956878207
152.0	-15031.105355296633
154.0	-15031.10834256222
156.0	-15031.11092576792
158.0	-15031.113121066592
160.0	-15031.114949737093
162.0	-15031.11643943598
164.0	-15031.11762324383
166.0	-15031.11853680422
168.0	-15031.119220231078
170.0	-15031.11971149256
172.0	-15031.120048020384
174.0	-15031.12026265671
176.0	-15031.120387290022
178.0	-15031.120441947482
180.0	-15031.120440695784
182.0	-15031.120391819975
184.0	-15031.120289180777
186.0	-15031.120121810935
188.0	-15031.119870219729
190.0	-15031.119508061907
192.0	-15031.119001124403
194.0	-15031.118312392733
196.0	-15031.117404912016
198.0	-15031.116237078211
200.0	-15031.114773307345
202.0	-15031.112978492281
204.0	-15031.110823188326
206.0	-15031.108284984133
208.0	-15031.105345521471
210.0	-15031.101995919249
212.0	-15031.098232958815
214.0	-15031.094063673518
216.0	-15031.089502249262
218.0	-15031.08457038214
220.0	-15031.0792956691
222.0	-15031.073714170954
224.0	-15031.067866776488
226.0	-15031.061797175906
228.0	-15031.055556509993
230.0	-15031.049195323489
232.0	-15031.042767439387
234.0	-15031.036326621077
236.0	-15031.029928122065
238.0	-15031.023627255461
240.0	-15031.017476771376
242.0	-15031.011530552409
244.0	-15031.005838070414
246.0	-15031.00044832041
248.0	-15030.995404992602
250.0	-15030.99075082352
252.0	-15030.986521814368
254.0	-15030.982753012679
256.0	-15030.979473326704
258.0	-15030.976708505652
260.0	-15030.974482033751
262.0	-15030.972809348605
264.0	-15030.971704576514
266.0	-15030.971177850268
268.0	-15030.971231315634
270.0	-15030.971867714426
272.0	-15030.973082278273
274.0	-15030.974867079756
276.0	-15030.977209482691
278.0	-15030.980093811057
280.0	-15030.98349950125
282.0	-15030.987401042483
284.0	-15030.991769764922
286.0	-15030.996571217082
288.0	-15031.001770947478
290.0	-15031.007329378626
292.0	-15031.013208840392
294.0	-15031.019365880988
296.0	-15031.025754128
298.0	-15031.032324467204
300.0	-15031.039027963183
302.0	-15031.045814488432
304.0	-15031.0526307564
306.0	-15031.059426460764
308.0	-15031.066151295207
310.0	-15031.07275513222
312.0	-15031.079191420577
314.0	-15031.085415874026
316.0	-15031.091388199828
318.0	-15031.097071562312
320.0	-15031.102432582877
322.0	-15031.107443962595
324.0	-15031.112083707354
326.0	-15031.11633369734
328.0	-15031.120183561346
330.0	-15031.123628829024
332.0	-15031.126671824954
334.0	-15031.129320834181
336.0	-15031.131591115496
338.0	-15031.13350347092
340.0	-15031.13508317282
342.0	-15031.136361752055
344.0	-15031.137373123667
346.0	-15031.138152573607
348.0	-15031.138737354777
350.0	-15031.13916460087
352.0	-15031.139467213652
354.0	-15031.139677558444
356.0	-15031.139820967219
358.0	-15031.139917288325
360.0	-15031.139978919527
