# UMA data for diatomic ethanol
# DISTANCE	ENERGY
97.11053951470662	-4218.275158766757
97.31255971672682	-4218.282908920299
97.51457991874702	-4218.290487442266
97.71660012076723	-4218.297895614158
97.91862032278742	-4218.30513427044
98.12064052480763	-4218.312205139648
98.32266072682783	-4218.319109413873
98.52468092884803	-4218.325848285209
98.72670113086824	-4218.3324223199
98.92872133288843	-4218.338833484899
99.13074153490864	-4218.345082495462
99.33276173692884	-4218.351170603286
99.53478193894904	-4218.357098970662
99.73680214096925	-4218.362868253242
99.93882234298944	-4218.368479792129
100.14084254500965	-4218.373934421788
100.34286274702986	-4218.379233632337
100.54488294905005	-4218.384378109227
100.74690315107026	-4218.389368716727
100.94892335309045	-4218.3942067959415
101.15094355511066	-4218.398892764102
101.35296375713085	-4218.40342855836
101.55498395915106	-4218.4078139701
101.75700416117127	-4218.412050310622
101.95902436319146	-4218.416139070045
102.16104456521167	-4218.420080188762
102.36306476723186	-4218.423875097285
102.56508496925207	-4218.427524570476
102.76710517127228	-4218.431029502402
102.96912537329247	-4218.434390667926
103.17114557531268	-4218.437608722697
103.37316577733287	-4218.440684620391
103.57518597935308	-4218.443619076263
103.77720618137329	-4218.446413103591
103.97922638339348	-4218.449067298423
104.18124658541369	-4218.451581958781
104.38326678743388	-4218.453958515178
104.58528698945409	-4218.45619744445
104.7873071914743	-4218.458299521457
104.98932739349449	-4218.460265163432
105.1913475955147	-4218.462095383655
105.39336779753489	-4218.463790718566
105.5953879995551	-4218.465351704608
105.79740820157531	-4218.46677935506
105.9994284035955	-4218.46807390834
106.20144860561571	-4218.469236020099
106.4034688076359	-4218.470266703616
106.60548900965611	-4218.471166137706
106.80750921167632	-4218.471935395251
107.00952941369651	-4218.472574416648
107.21154961571672	-4218.47308415557
107.41356981773691	-4218.473465208064
107.61559001975712	-4218.473718170177
107.81761022177733	-4218.473843161117
108.01963042379752	-4218.4738411941635
108.22165062581773	-4218.473712686549
108.42367082783792	-4218.473458055507
108.62569102985813	-4218.473078016292
108.82771123187834	-4218.472572628509
109.02973143389853	-4218.471942607413
109.23175163591874	-4218.471188370238
109.43377183793893	-4218.470310870658
109.63579203995914	-4218.469309751044
109.83781224197935	-4218.468186143886
110.03983244399954	-4218.466939751159
110.24185264601975	-4218.465572003375
110.44387284803994	-4218.464082483302
110.64589305006015	-4218.462472025405
110.84791325208036	-4218.460740808498
111.04993345410055	-4218.4588895478355
111.25195365612076	-4218.456918243419
111.45397385814096	-4218.454827491294
111.65599406016116	-4218.452617649089
111.85801426218137	-4218.45028931285
112.06003446420156	-4218.447842422973
112.26205466622177	-4218.445277515899
112.46407486824197	-4218.442594770442
112.66609507026217	-4218.4397947230445
112.86811527228238	-4218.436877850543
113.07013547430257	-4218.433844152938
113.27215567632278	-4218.430693987857
113.47417587834298	-4218.427428010951
113.67619608036318	-4218.424045983802
113.87821628238339	-4218.420548979293
114.08023648440358	-4218.4169364609825
114.28225668642379	-4218.413209144126
114.48427688844399	-4218.409367326747
114.6862970904642	-4218.405411128055
114.8883172924844	-4218.401340667258
115.0903374945046	-4218.397156600009
115.29235769652479	-4218.392859015714
115.494377898545	-4218.388447944175
115.6963981005652	-4218.383924160253
115.89841830258541	-4218.379287067901
116.1004385046056	-4218.374537412177
116.3024587066258	-4218.369675640117
116.504478908646	-4218.364701841127
116.70649911066621	-4218.359616134416
116.90851931268642	-4218.354418490182
117.11053951470662	-4218.349109385263
