# translation results for benzene
# MODEL			MAX E			MAX F			MAX tau
ANI-1x		4.054812052345369e-06	6.226743494153197e-07	1.6783337172254775e-06
ANI-1ccx	4.460293894226197e-06	3.1105645348361577e-07	4.2940079143516385e-06
ANI-2x		5.169886208022945e-06	9.64258788371808e-07	1.6430628166586025e-05
MACE-MP		7.62939453125e-06	4.273553884104331e-07	1.2874391314809941e-05
MACE-OFF	0.0			3.178256520186551e-07	1.3563987659281906e-05
ORB-V2		1.52587890625e-05	4.3364553903302294e-07	1.9501017046508196e-05
ORB-D3-V2	7.62939453125e-06	6.477087026723893e-07	4.246010604980199e-05
UMA_small	5.960464477539062e-07	9.682847945668982e-08	1.597922707458066e-06
