# rotation results for benzene
# MODEL			MAX E			MAX F			MAX tau
ANI-1x		5.27125575899845e-06	5.184132874092029e-07	2.000673359470878e-06
ANI-1ccx	5.676737600879278e-06	4.951589289703406e-07	1.819154750264812e-06
ANI-2x		7.704144081799313e-06	9.17720399229438e-07	2.958685676348119e-06
MACE-MP		0.0			3.6892728871862346e-07	3.0896349474882068e-06
MACE-OFF	0.0			2.910213652285165e-07	2.720744334903935e-06
ORB-V2		0.0091400146484375	6.937093530723359e-07	-9.099503242137458e-08
ORB-D3-V2	0.01023101806640625	8.814035936666187e-07	-4.370288398565514e-07
UMA_small	6.556510925292969e-07	1.2638652435725817e-07	0.0002174200415107917
