# UMA data for molecule: benzene
# z-axis rotation with 180 rotamers and resolution 2
# ENERGY		FORCES		TORQUE (if exists)
1.1920928955078125e-07	5.9511997108074866e-08	-0.00021737173795527846
4.172325134277344e-07	4.9886608621818596e-08	-3.7628405923147876e-06
3.5762786865234375e-07	1.480954026078507e-08	-4.67170862891612e-06
3.5762786865234375e-07	8.962335584783432e-08	-2.17999991115399e-06
4.172325134277344e-07	2.6772747574455025e-08	-4.254442566247301e-06
2.980232238769531e-07	3.062587339286438e-08	-1.9145272056395628e-06
4.172325134277344e-07	4.702896205799334e-08	-9.400367454109453e-07
2.384185791015625e-07	4.4609926419525436e-08	-3.1555545709246865e-06
1.7881393432617188e-07	5.5785687180787136e-08	-1.5479904621530912e-06
1.7881393432617188e-07	9.000925160762563e-08	-6.520060338011829e-07
2.980232238769531e-07	2.677012211904639e-08	-1.947570216531847e-06
4.172325134277344e-07	7.443541960583389e-08	-2.4697337104057025e-06
2.980232238769531e-07	6.31266274808695e-08	-1.7160500371761935e-06
0.0	7.571068039169404e-08	-4.514663474830117e-06
2.980232238769531e-07	4.658684815694869e-08	2.746548158849947e-07
1.7881393432617188e-07	4.7539089109704946e-08	-6.571372445993962e-07
2.980232238769531e-07	5.578597495059512e-08	-7.583587634450647e-07
1.7881393432617188e-07	3.8306740890448054e-08	6.317557274422228e-07
2.980232238769531e-07	6.48858318186285e-08	-1.802466479548357e-06
2.384185791015625e-07	3.529659053924661e-08	-2.158392175844879e-06
2.980232238769531e-07	2.976682011990306e-08	1.7808485101887225e-07
4.172325134277344e-07	1.5270423148194823e-08	-7.306988759341366e-07
5.364418029785156e-07	4.988630308844222e-08	-6.77404908251602e-08
4.172325134277344e-07	2.9708637327985343e-08	4.807900270988845e-07
4.76837158203125e-07	3.343404131328498e-08	-1.029582190511038e-06
2.980232238769531e-07	1.656747805611758e-08	-1.260206972048734e-06
2.384185791015625e-07	7.358614162455979e-09	-2.497468439051016e-07
2.980232238769531e-07	2.097995377425832e-08	-1.0204031137034178e-06
4.172325134277344e-07	0.0	1.0773425098381107e-06
3.5762786865234375e-07	4.522647500948551e-08	-1.6394773002587226e-07
2.980232238769531e-07	4.702793177102649e-08	5.505067324876919e-05
2.384185791015625e-07	6.6961789002562e-08	-1.7024050657898202e-06
2.384185791015625e-07	1.6566490401714873e-08	-2.25116129351417e-06
1.7881393432617188e-07	2.2260786991523673e-08	-2.3977786227454245e-06
4.172325134277344e-07	6.134536079116515e-08	-2.511023833317254e-06
2.980232238769531e-07	7.588764816546245e-08	-1.1140050434850016e-06
1.7881393432617188e-07	8.711320020893254e-08	-2.209040076515664e-06
1.7881393432617188e-07	3.716041163670525e-08	-5.70410939024324e-07
3.5762786865234375e-07	1.6566515270710624e-08	-5.549228481979535e-07
3.5762786865234375e-07	5.363325783491746e-08	-4.967360407179802e-07
4.76837158203125e-07	4.5226524747477015e-08	1.256451851310995e-06
1.7881393432617188e-07	6.859747259113647e-08	-1.8777299109237262e-06
6.556510925292969e-07	2.9708630222557986e-08	4.922423867551663e-07
5.960464477539063e-08	6.859739443143553e-08	-0.00010695026452376315
2.980232238769531e-07	6.312656353202328e-08	-2.0998694981806197e-07
5.960464477539063e-08	8.049664756981656e-08	-1.2838300779432102e-06
3.5762786865234375e-07	4.702999589767387e-08	-2.4060621311670053e-06
1.1920928955078125e-07	1.4814148130426474e-08	-2.835337219151356e-06
6.556510925292969e-07	9.67640971794026e-08	-2.4938072363540265e-06
1.7881393432617188e-07	9.054652139184327e-08	-1.292030205407356e-06
4.172325134277344e-07	6.312657063745064e-08	-3.1038892069216985e-06
4.172325134277344e-07	2.0979765480433343e-08	-6.664212963382484e-07
3.5762786865234375e-07	4.702803835243685e-08	-1.3456099575319872e-06
2.384185791015625e-07	5.057602692204455e-08	-4.868759552182115e-06
1.7881393432617188e-07	7.223838593972687e-08	-3.5425649411458844e-06
1.7881393432617188e-07	4.4765393170109746e-08	-2.0612401811450563e-06
5.364418029785156e-07	6.293462462281241e-08	-3.005453789144924e-06
2.980232238769531e-07	3.1571563141596926e-08	-8.00186964040594e-06
1.7881393432617188e-07	1.1082297746156655e-08	-5.375332025506676e-06
2.384185791015625e-07	6.278435904505386e-08	-3.1909276947330495e-06
1.1920928955078125e-07	9.467569128673858e-08	1.3735850399465817e-07
4.172325134277344e-07	1.6779685196866012e-08	4.719035012336709e-06
5.364418029785156e-07	7.524617018361823e-08	6.170752556765953e-06
1.7881393432617188e-07	1.480805877918101e-08	3.676769194414765e-06
1.7881393432617188e-07	4.476473947079285e-08	-1.5850985197632485e-07
2.980232238769531e-07	2.8338332569433078e-08	6.232225566142412e-07
4.172325134277344e-07	4.351095483912104e-08	-1.345272974067167e-07
4.172325134277344e-07	5.363388311252493e-08	2.1239677814082244e-06
4.76837158203125e-07	1.854354714225792e-08	-6.94334610040159e-07
4.172325134277344e-07	3.6596222940943335e-08	-2.5583864182855893e-07
2.980232238769531e-07	4.522685870256282e-08	7.580139901952249e-07
3.5762786865234375e-07	5.99750791252518e-08	-1.443992041862681e-06
4.172325134277344e-07	9.414952728548087e-08	-7.061879602929572e-07
1.7881393432617188e-07	3.0625827207586553e-08	-1.588015801764407e-07
4.172325134277344e-07	7.357029652155234e-09	1.003880745168691e-06
1.7881393432617188e-07	3.32262999336308e-08	-1.3033178100562807e-05
2.384185791015625e-07	7.36290584057997e-09	3.7787517966111904e-06
0.0	3.322766417568346e-08	0.00010592072351002506
2.384185791015625e-07	4.2053724058632724e-08	2.4715451318720804e-08
3.5762786865234375e-07	6.859737311515346e-08	-1.8202327710250048e-06
1.7881393432617188e-07	6.312718880963075e-08	-9.87432280799379e-07
1.7881393432617188e-07	6.134548868885759e-08	-1.90864491791241e-06
1.7881393432617188e-07	6.312697564681002e-08	1.4120745073494267e-06
2.384185791015625e-07	2.0979758375005986e-08	-1.2441466710489955e-07
4.172325134277344e-07	5.997483043529428e-08	-1.643054254549165e-07
4.172325134277344e-07	6.654666862004888e-08	1.999444604003351e-06
2.980232238769531e-07	4.522654251104541e-08	2.982318988820911e-06
4.172325134277344e-07	4.205361747722236e-08	1.7042972734056325e-06
1.7881393432617188e-07	4.2055113169681135e-08	3.2222140816289592e-06
4.172325134277344e-07	1.480838385248262e-08	4.4227048302706816e-07
5.960464477539063e-08	1.4808648529651691e-08	0.00021498501037063242
3.5762786865234375e-07	1.4807541859340745e-08	-2.506665758011037e-06
2.980232238769531e-07	3.322637809333173e-08	-4.5953659797540215e-06
4.172325134277344e-07	1.0838869712870292e-07	-2.331535520638268e-06
4.76837158203125e-07	9.326227967676459e-08	-4.8486496856043616e-06
4.76837158203125e-07	7.45051664807761e-08	-4.085096848814027e-06
3.5762786865234375e-07	7.441325067247817e-08	-4.0681578951833097e-07
2.384185791015625e-07	7.884378305789141e-08	-1.7661739447462187e-06
2.384185791015625e-07	1.8532805512450068e-08	-1.431222146998743e-06
1.7881393432617188e-07	7.358020859271619e-09	-2.282065568061248e-07
3.5762786865234375e-07	4.00297395231064e-08	-1.7281105755980524e-06
2.980232238769531e-07	1.8532910317503593e-08	-1.3030185022752574e-06
1.7881393432617188e-07	7.158791959227528e-08	-1.4901007779341927e-06
1.1920928955078125e-07	6.859738732600817e-08	-3.837255904700748e-06
2.384185791015625e-07	4.8712092137748186e-08	2.9030398952690205e-07
2.384185791015625e-07	1.581224040592133e-08	-3.126043026890199e-07
2.980232238769531e-07	3.000317150281262e-08	-8.056178536737885e-07
1.7881393432617188e-07	2.0333171590891652e-08	1.4218941021350366e-06
2.980232238769531e-07	3.63159013971881e-09	-1.3947736364252466e-06
4.172325134277344e-07	5.997478780273013e-08	-1.8414676336984762e-06
2.980232238769531e-07	7.588833739191614e-08	1.1949475103127775e-07
3.5762786865234375e-07	1.1083429285463353e-08	-1.0286681383505304e-06
4.172325134277344e-07	7.358110565292009e-09	-3.220606603578853e-07
4.76837158203125e-07	5.1659736044484816e-08	1.1587230364306779e-06
4.172325134277344e-07	6.235368488205495e-08	-1.9092134139495605e-06
2.384185791015625e-07	4.833552225136373e-08	-1.1048544914083296e-06
2.384185791015625e-07	3.062628550765112e-08	-3.775213563711739e-07
2.980232238769531e-07	5.41476019577658e-08	-2.9819109318423786e-07
4.76837158203125e-07	4.7613408327151774e-08	6.382098987315932e-07
3.5762786865234375e-07	7.441223459636603e-08	-6.377448455539831e-07
2.980232238769531e-07	8.711334942290705e-08	-6.052097568551881e-05
2.980232238769531e-07	4.761333016745084e-08	-2.5940897023602283e-06
1.7881393432617188e-07	3.7159210819481814e-08	-3.1263554582107065e-06
1.7881393432617188e-07	3.062643116891195e-08	-3.008500622196577e-06
4.76837158203125e-07	4.702798506173167e-08	-3.41550128303559e-06
2.980232238769531e-07	5.8097576527416095e-08	-2.8904689669238728e-06
3.5762786865234375e-07	7.441212801495567e-08	-2.8396946838320095e-06
2.980232238769531e-07	4.522651408933598e-08	-6.923563023022713e-07
2.980232238769531e-07	5.25904546577749e-08	-1.3642982707634391e-06
4.76837158203125e-07	4.7613408327151774e-08	-1.2125455692361001e-06
2.980232238769531e-07	6.859725942831574e-08	1.2534169267133425e-06
3.5762786865234375e-07	2.970894286136172e-08	-1.258069611191753e-06
4.172325134277344e-07	3.322630348634448e-08	8.498421925246154e-07
1.7881393432617188e-07	2.0983517146078157e-08	-0.000106803405504324
2.980232238769531e-07	4.702798861444535e-08	-4.1669460445815486e-07
1.1920928955078125e-07	7.019610137604104e-08	-7.291219987892347e-06
2.384185791015625e-07	3.062714526436139e-08	-2.2262840736738815e-06
1.7881393432617188e-07	4.988660506910492e-08	-2.881433685156703e-06
5.364418029785156e-07	4.761330529845509e-08	-1.3899285970180847e-06
4.172325134277344e-07	4.761335858916027e-08	-1.8037217532757012e-06
4.172325134277344e-07	3.505063617126325e-08	-4.461158002495739e-06
3.5762786865234375e-07	5.997479490815749e-08	-4.853795453286641e-07
4.172325134277344e-07	6.696154031260448e-08	-1.4191222846836346e-06
1.7881393432617188e-07	5.414808512682612e-08	-4.473956925375937e-06
3.5762786865234375e-07	2.097992002347837e-08	-3.407185307158302e-06
1.7881393432617188e-07	5.495692789736495e-09	-3.0707123857675605e-06
5.364418029785156e-07	7.120016931594364e-08	-2.5068954078947714e-06
1.7881393432617188e-07	5.8097217703334536e-08	-8.124527085014836e-06
1.7881393432617188e-07	3.282051963537924e-08	-5.509561743913521e-06
3.5762786865234375e-07	5.606640129940388e-08	-3.528892854688527e-06
2.980232238769531e-07	6.181262612869887e-09	1.2632729785056739e-07
3.5762786865234375e-07	1.700337115551065e-08	5.047363618440124e-06
4.172325134277344e-07	3.8901298182736355e-08	5.228702288879235e-06
2.980232238769531e-07	6.989881740082637e-08	2.460424332847882e-06
2.980232238769531e-07	6.922581974322384e-08	1.228249715749642e-07
2.980232238769531e-07	3.7160539534397685e-08	5.672425228478824e-07
3.5762786865234375e-07	2.6771054706387076e-08	6.831733731993955e-07
4.76837158203125e-07	1.5267985986611166e-08	1.7787546767240932e-06
5.364418029785156e-07	4.761433558542194e-08	8.848227203076212e-07
4.172325134277344e-07	2.6770221595029398e-08	-1.2910864802150467e-06
2.980232238769531e-07	3.322631769719919e-08	-1.1613604349021055e-07
2.980232238769531e-07	7.441209248781888e-08	-1.5956528929084444e-06
3.5762786865234375e-07	6.69619240056818e-08	-1.062201978603473e-06
5.960464477539063e-08	1.0527348592859198e-07	-4.907268854101874e-07
4.172325134277344e-07	8.015163643904089e-08	3.3559717747914017e-07
1.7881393432617188e-07	5.3633538499298083e-08	1.229238575238713e-05
1.7881393432617188e-07	5.414768367018041e-08	-1.3892074517880133e-07
1.1920928955078125e-07	6.134536079116515e-08	0.00010514523643286581
2.980232238769531e-07	5.3633204544212276e-08	3.479490518197457e-07
3.5762786865234375e-07	1.4817663540611647e-08	-1.7111278558478435e-06
2.980232238769531e-07	4.002906806022111e-08	-1.0242876134923175e-06
1.7881393432617188e-07	3.0626143399103967e-08	-1.4930334723874e-06
1.7881393432617188e-07	4.761344740700224e-08	1.086574600118617e-06
2.980232238769531e-07	5.997504359811501e-08	1.1507622124992819e-07
4.172325134277344e-07	7.910711730119147e-08	-9.246222298333001e-08
2.980232238769531e-07	5.9510931293971225e-08	5.809618370755528e-07
3.5762786865234375e-07	8.320640176862071e-08	1.6872434499498582e-06
4.172325134277344e-07	4.2053159177157795e-08	1.6381234380562618e-06
3.5762786865234375e-07	8.015149433049373e-08	3.801587597873391e-06
2.980232238769531e-07	2.970867285512213e-08	8.381604590236083e-07
2.384185791015625e-07	8.320667888028765e-08	-0.00021611035129362834
